x,y,TOAPE,TOHO,MURD,ATMU,COMU,MSLT,DRCD,TOAS,SEAS,OTAS,TOSO,RAAR,OTSO,TORO,ARRO,UNRO,EXTO,KAAE,OFAP,TOAPR,TOUE,UEWID,UEWTVD,UEWVD,UEWIS,UEWIO,ARSO,OTPD,MOVT,OTTH,STFD,SHST,STST,OTST,TOFR,FBCH,FBCC,OTFR,THSG,PPSS,RESP,PETP,OHSG,TOOO,DROF,PROF,LIDR,GAOF,TRAV,GOOO,TARD,MIOF
153.145,27.0439,23,0,0,0,0,0,0,14,5,9,5,0,5,2,2,0,1,0,1,290,168,144,144,0,9,15,1,40,24,44,6,0,0,38,13,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153.191,27.7615,266,2,1,1,0,0,0,176,91,85,37,7,30,27,5,22,0,1,23,1916,544,363,356,7,26,155,9,397,110,643,63,119,0,461,213,5,6,202,0,0,0,0,0,35,0,0,0,0,3,21,2,9
153.08,27.3823,40,1,1,0,0,0,0,11,8,3,3,0,3,17,12,5,0,0,8,658,304,233,228,5,26,45,0,111,21,154,23,8,0,123,68,6,5,57,0,0,0,0,0,12,0,0,0,0,3,6,0,3
152.975,27.4614,52,0,0,0,0,0,0,20,12,8,17,0,17,12,7,5,0,1,2,789,124,73,70,3,17,34,2,178,63,369,12,96,0,261,53,5,28,20,0,0,0,0,0,8,0,0,0,0,5,2,0,1
152.844,27.5737,13,0,0,0,0,0,0,11,7,4,0,0,0,1,0,1,0,0,1,182,43,14,14,0,3,26,2,39,10,72,0,1,0,71,16,1,0,15,0,0,0,0,0,4,0,0,0,0,0,2,1,1
152.769,27.6031,9,0,0,0,0,0,0,6,5,1,1,0,1,1,0,1,0,0,1,195,97,82,81,1,1,14,0,40,9,47,10,0,0,37,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
153.128,26.7807,66,0,0,0,0,0,0,32,20,12,5,0,5,23,18,5,0,1,5,1554,272,176,175,1,26,70,2,266,155,640,15,191,0,434,219,23,99,97,0,0,0,0,0,11,0,0,0,0,1,7,0,3
153.045,27.1201,206,1,0,1,0,0,0,5,4,1,197,0,197,1,1,0,0,0,2,442,159,130,129,1,13,16,0,115,38,125,14,2,0,109,5,0,1,4,0,0,0,0,0,5,1,0,0,0,1,2,0,1
153.001,27.9853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,0,0,0,6,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153.201,28.1178,21,0,0,0,0,0,0,5,4,1,4,1,3,8,6,2,0,0,4,497,257,208,208,0,19,30,0,94,20,113,13,4,0,96,13,5,1,7,0,0,0,0,0,3,0,0,0,0,0,2,0,1
